Clinical, ELISA and diversity data	Alpha: Berger-Parker Dominance	Alpha: Chao1 Richness	Alpha: Distinct OTUs	Alpha: Gini–Simpson Index	Alpha: Inverse Simpson Index	Alpha: Shannon Entropy	Alpha: Simpson Index	Beta: Bray-Curtis Distance	Beta: Euclidean Distance	Clinical: Body Mass Index	Clinical: Diastolic Blood Pressure	Clinical: Glucose	Clinical: High-Density Lipoproteins	Clinical: Low-Density Lipoproteins	Clinical: Systolic Blood Pressure	Clinical: Thyroglobulin	Clinical: Total Blood Cholesterol	Clinical: Waist Circumference	ELISA: ASPR	ELISA: FGF21	ELISA: HOMA	ELISA: Insulin	ELISA: Irisin	ELISA: Leptin	ELISA: Myostatin/GDF8	ELISA: Resistin	ELISA: VEGF
Alpha: Berger-Parker Dominance	1.0	-0.5428571428571428	-0.5428571428571428	0.9428571428571428	0.9428571428571428	-0.6	-0.9428571428571428	0.14285714285714285	-0.14285714285714285	-0.550782483869826	0.23904572186687872	-0.2	-0.6	-0.37142857142857144	-0.26482044885142486	0.2571428571428571	-0.37142857142857144	-0.3142857142857143	-0.37142857142857144	0.7714285714285715	-0.14285714285714285	0.02857142857142857	-0.16903085094570333	0.42857142857142855	0.3927922024247863	0.08571428571428572	0.08571428571428572
Alpha: Chao1 Richness	-0.5428571428571428	1.0	1.0	-0.6571428571428571	-0.6571428571428571	0.9428571428571428	0.6571428571428571	-0.8285714285714286	-0.5428571428571428	0.3188740696088466	0.0	0.2571428571428571	0.4857142857142857	0.3142857142857143	0.7944613465542745	-0.08571428571428572	0.7142857142857143	0.7714285714285715	0.3142857142857143	-0.08571428571428572	0.6571428571428571	0.7142857142857143	0.10141851056742199	-0.3142857142857143	-0.6546536707079772	0.14285714285714285	-0.3142857142857143
Alpha: Distinct OTUs	-0.5428571428571428	1.0	1.0	-0.6571428571428571	-0.6571428571428571	0.9428571428571428	0.6571428571428571	-0.8285714285714286	-0.5428571428571428	0.3188740696088466	0.0	0.2571428571428571	0.4857142857142857	0.3142857142857143	0.7944613465542745	-0.08571428571428572	0.7142857142857143	0.7714285714285715	0.3142857142857143	-0.08571428571428572	0.6571428571428571	0.7142857142857143	0.10141851056742199	-0.3142857142857143	-0.6546536707079772	0.14285714285714285	-0.3142857142857143
Alpha: Gini–Simpson Index	0.9428571428571428	-0.6571428571428571	-0.6571428571428571	1.0	1.0	-0.7142857142857143	-1.0	0.2571428571428571	0.08571428571428572	-0.6957252427829381	0.11952286093343936	-0.2571428571428571	-0.5428571428571428	-0.42857142857142855	-0.44136741475237473	0.3142857142857143	-0.5428571428571428	-0.37142857142857144	-0.2571428571428571	0.5428571428571428	-0.2571428571428571	-0.14285714285714285	-0.16903085094570333	0.4857142857142857	0.3927922024247863	-0.2	0.2
Alpha: Inverse Simpson Index	0.9428571428571428	-0.6571428571428571	-0.6571428571428571	1.0	1.0	-0.7142857142857143	-1.0	0.2571428571428571	0.08571428571428572	-0.6957252427829381	0.11952286093343936	-0.2571428571428571	-0.5428571428571428	-0.42857142857142855	-0.44136741475237473	0.3142857142857143	-0.5428571428571428	-0.37142857142857144	-0.2571428571428571	0.5428571428571428	-0.2571428571428571	-0.14285714285714285	-0.16903085094570333	0.4857142857142857	0.3927922024247863	-0.2	0.2
Alpha: Shannon Entropy	-0.6	0.9428571428571428	0.9428571428571428	-0.7142857142857143	-0.7142857142857143	1.0	0.7142857142857143	-0.7714285714285715	-0.4857142857142857	0.23190841426097938	-0.11952286093343936	0.42857142857142855	0.42857142857142855	0.08571428571428572	0.6179143806533246	0.14285714285714285	0.5428571428571428	0.7142857142857143	0.42857142857142855	-0.14285714285714285	0.5428571428571428	0.6	-0.06761234037828133	-0.5428571428571428	-0.3927922024247863	0.3142857142857143	-0.14285714285714285
Alpha: Simpson Index	-0.9428571428571428	0.6571428571428571	0.6571428571428571	-1.0	-1.0	0.7142857142857143	1.0	-0.2571428571428571	-0.08571428571428572	0.6957252427829381	-0.11952286093343936	0.2571428571428571	0.5428571428571428	0.42857142857142855	0.44136741475237473	-0.3142857142857143	0.5428571428571428	0.37142857142857144	0.2571428571428571	-0.5428571428571428	0.2571428571428571	0.14285714285714285	0.16903085094570333	-0.4857142857142857	-0.3927922024247863	0.2	-0.2
Beta: Bray-Curtis Distance	0.14285714285714285	-0.8285714285714286	-0.8285714285714286	0.2571428571428571	0.2571428571428571	-0.7714285714285715	-0.2571428571428571	1.0	0.8285714285714286	-0.057977103565244846	-0.35856858280031806	-0.5428571428571428	0.02857142857142857	-0.2	-0.7944613465542745	-0.2571428571428571	-0.6571428571428571	-0.9428571428571428	-0.5428571428571428	-0.08571428571428572	-0.8857142857142857	-0.9428571428571428	-0.2704493615131253	0.42857142857142855	0.3927922024247863	-0.08571428571428572	-0.08571428571428572
Beta: Euclidean Distance	-0.14285714285714285	-0.5428571428571428	-0.5428571428571428	0.08571428571428572	0.08571428571428572	-0.4857142857142857	-0.08571428571428572	0.8285714285714286	1.0	-0.2608969660436018	-0.7171371656006361	-0.6	0.42857142857142855	-0.3142857142857143	-0.7944613465542745	-0.14285714285714285	-0.7142857142857143	-0.7714285714285715	-0.3142857142857143	-0.37142857142857144	-0.8857142857142857	-0.9428571428571428	-0.4394802124588286	0.42857142857142855	0.13093073414159545	-0.37142857142857144	-0.14285714285714285
Clinical: Body Mass Index	-0.550782483869826	0.3188740696088466	0.3188740696088466	-0.6957252427829381	-0.6957252427829381	0.23190841426097938	0.6957252427829381	-0.057977103565244846	-0.2608969660436018	1.0	0.4244373438135827	0.08696565534786727	0.14494275891311212	0.8406680016960503	0.5821543981758689	-0.7247137945655605	0.753702346348183	0.20291986247835694	-0.11595420713048969	-0.23190841426097938	0.34786262139146906	0.20291986247835694	0.600245047998781	-0.17393131069573453	-0.3985266984930429	0.20291986247835694	-0.28988551782622424
Clinical: Diastolic Blood Pressure	0.23904572186687872	0.0	0.0	0.11952286093343936	0.11952286093343936	-0.11952286093343936	-0.11952286093343936	-0.35856858280031806	-0.7171371656006361	0.4244373438135827	1.0	0.47809144373375745	-0.7171371656006361	0.5976143046671968	0.5539117094069973	-0.11952286093343936	0.5976143046671968	0.47809144373375745	0.23904572186687872	0.11952286093343936	0.7171371656006361	0.5976143046671968	0.848528137423857	-0.23904572186687872	0.0	0.0	0.35856858280031806
Clinical: Glucose	-0.2	0.2571428571428571	0.2571428571428571	-0.2571428571428571	-0.2571428571428571	0.42857142857142855	0.2571428571428571	-0.5428571428571428	-0.6	0.08696565534786727	0.47809144373375745	1.0	-0.5428571428571428	-0.02857142857142857	0.26482044885142486	0.6	0.2571428571428571	0.6571428571428571	0.8285714285714286	-0.2571428571428571	0.6	0.4857142857142857	0.33806170189140666	-0.9428571428571428	0.3927922024247863	0.2571428571428571	0.7714285714285715
Clinical: High-Density Lipoproteins	-0.6	0.4857142857142857	0.4857142857142857	-0.5428571428571428	-0.5428571428571428	0.42857142857142855	0.5428571428571428	0.02857142857142857	0.42857142857142855	0.14494275891311212	-0.7171371656006361	-0.5428571428571428	1.0	0.08571428571428572	0.08827348295047495	-0.42857142857142855	0.08571428571428572	-0.08571428571428572	-0.2571428571428571	-0.2571428571428571	-0.2571428571428571	-0.2	-0.3718678720805473	0.3142857142857143	-0.6546536707079772	-0.14285714285714285	-0.7142857142857143
Clinical: Low-Density Lipoproteins	-0.37142857142857144	0.3142857142857143	0.3142857142857143	-0.42857142857142855	-0.42857142857142855	0.08571428571428572	0.42857142857142855	-0.2	-0.3142857142857143	0.8406680016960503	0.5976143046671968	-0.02857142857142857	0.08571428571428572	1.0	0.7061878636037996	-0.7714285714285715	0.8285714285714286	0.37142857142857144	-0.02857142857142857	-0.2571428571428571	0.5428571428571428	0.37142857142857144	0.8451542547285166	0.08571428571428572	-0.6546536707079772	-0.2571428571428571	-0.2571428571428571
Clinical: Systolic Blood Pressure	-0.26482044885142486	0.7944613465542745	0.7944613465542745	-0.44136741475237473	-0.44136741475237473	0.6179143806533246	0.44136741475237473	-0.7944613465542745	-0.7944613465542745	0.5821543981758689	0.5539117094069973	0.26482044885142486	0.08827348295047495	0.7061878636037996	1.0	-0.3530939318018998	0.9710083124552245	0.7944613465542745	0.1765469659009499	0.08827348295047495	0.8827348295047495	0.8827348295047495	0.5744562646538028	-0.1765469659009499	-0.674199862463242	0.08827348295047495	-0.26482044885142486
Clinical: Thyroglobulin	0.2571428571428571	-0.08571428571428572	-0.08571428571428572	0.3142857142857143	0.3142857142857143	0.14285714285714285	-0.3142857142857143	-0.2571428571428571	-0.14285714285714285	-0.7247137945655605	-0.11952286093343936	0.6	-0.42857142857142855	-0.7714285714285715	-0.3530939318018998	1.0	-0.4857142857142857	0.2	0.6	0.02857142857142857	0.02857142857142857	0.08571428571428572	-0.3718678720805473	-0.5428571428571428	0.6546536707079772	0.14285714285714285	0.7142857142857143
Clinical: Total Blood Cholesterol	-0.37142857142857144	0.7142857142857143	0.7142857142857143	-0.5428571428571428	-0.5428571428571428	0.5428571428571428	0.5428571428571428	-0.6571428571428571	-0.7142857142857143	0.753702346348183	0.5976143046671968	0.2571428571428571	0.08571428571428572	0.8285714285714286	0.9710083124552245	-0.4857142857142857	1.0	0.7142857142857143	0.14285714285714285	-0.02857142857142857	0.8285714285714286	0.7714285714285715	0.6761234037828133	-0.2	-0.6546536707079772	0.08571428571428572	-0.2571428571428571
Clinical: Waist Circumference	-0.3142857142857143	0.7714285714285715	0.7714285714285715	-0.37142857142857144	-0.37142857142857144	0.7142857142857143	0.37142857142857144	-0.9428571428571428	-0.7714285714285715	0.20291986247835694	0.47809144373375745	0.6571428571428571	-0.08571428571428572	0.37142857142857144	0.7944613465542745	0.2	0.7142857142857143	1.0	0.7142857142857143	-0.2	0.9428571428571428	0.8857142857142857	0.50709255283711	-0.5428571428571428	-0.3927922024247863	-0.08571428571428572	0.2571428571428571
ELISA: ASPR	-0.37142857142857144	0.3142857142857143	0.3142857142857143	-0.2571428571428571	-0.2571428571428571	0.42857142857142855	0.2571428571428571	-0.5428571428571428	-0.3142857142857143	-0.11595420713048969	0.23904572186687872	0.8285714285714286	-0.2571428571428571	-0.02857142857142857	0.1765469659009499	0.6	0.14285714285714285	0.7142857142857143	1.0	-0.6	0.5428571428571428	0.37142857142857144	0.33806170189140666	-0.7714285714285715	0.13093073414159545	-0.2571428571428571	0.7714285714285715
ELISA: FGF21	0.7714285714285715	-0.08571428571428572	-0.08571428571428572	0.5428571428571428	0.5428571428571428	-0.14285714285714285	-0.5428571428571428	-0.08571428571428572	-0.37142857142857144	-0.23190841426097938	0.11952286093343936	-0.2571428571428571	-0.2571428571428571	-0.2571428571428571	0.08827348295047495	0.02857142857142857	-0.02857142857142857	-0.2	-0.6	1.0	-0.02857142857142857	0.2571428571428571	-0.33806170189140666	0.37142857142857144	0.13093073414159545	0.5428571428571428	-0.37142857142857144
ELISA: HOMA	-0.14285714285714285	0.6571428571428571	0.6571428571428571	-0.2571428571428571	-0.2571428571428571	0.5428571428571428	0.2571428571428571	-0.8857142857142857	-0.8857142857142857	0.34786262139146906	0.7171371656006361	0.6	-0.2571428571428571	0.5428571428571428	0.8827348295047495	0.02857142857142857	0.8285714285714286	0.9428571428571428	0.5428571428571428	-0.02857142857142857	1.0	0.9428571428571428	0.6761234037828133	-0.42857142857142855	-0.3927922024247863	-0.02857142857142857	0.2
ELISA: Insulin	0.02857142857142857	0.7142857142857143	0.7142857142857143	-0.14285714285714285	-0.14285714285714285	0.6	0.14285714285714285	-0.9428571428571428	-0.9428571428571428	0.20291986247835694	0.5976143046671968	0.4857142857142857	-0.2	0.37142857142857144	0.8827348295047495	0.08571428571428572	0.7714285714285715	0.8857142857142857	0.37142857142857144	0.2571428571428571	0.9428571428571428	1.0	0.4394802124588286	-0.3142857142857143	-0.3927922024247863	0.14285714285714285	0.02857142857142857
ELISA: Irisin	-0.16903085094570333	0.10141851056742199	0.10141851056742199	-0.16903085094570333	-0.16903085094570333	-0.06761234037828133	0.16903085094570333	-0.2704493615131253	-0.4394802124588286	0.600245047998781	0.848528137423857	0.33806170189140666	-0.3718678720805473	0.8451542547285166	0.5744562646538028	-0.3718678720805473	0.6761234037828133	0.50709255283711	0.33806170189140666	-0.33806170189140666	0.6761234037828133	0.4394802124588286	1.0	-0.16903085094570333	-0.30983866769659335	-0.3718678720805473	0.2704493615131253
ELISA: Leptin	0.42857142857142855	-0.3142857142857143	-0.3142857142857143	0.4857142857142857	0.4857142857142857	-0.5428571428571428	-0.4857142857142857	0.42857142857142855	0.42857142857142855	-0.17393131069573453	-0.23904572186687872	-0.9428571428571428	0.3142857142857143	0.08571428571428572	-0.1765469659009499	-0.5428571428571428	-0.2	-0.5428571428571428	-0.7714285714285715	0.37142857142857144	-0.42857142857142855	-0.3142857142857143	-0.16903085094570333	1.0	-0.3927922024247863	-0.37142857142857144	-0.6571428571428571
ELISA: Myostatin/GDF8	0.3927922024247863	-0.6546536707079772	-0.6546536707079772	0.3927922024247863	0.3927922024247863	-0.3927922024247863	-0.3927922024247863	0.3927922024247863	0.13093073414159545	-0.3985266984930429	0.0	0.3927922024247863	-0.6546536707079772	-0.6546536707079772	-0.674199862463242	0.6546536707079772	-0.6546536707079772	-0.3927922024247863	0.13093073414159545	0.13093073414159545	-0.3927922024247863	-0.3927922024247863	-0.30983866769659335	-0.3927922024247863	1.0	0.3927922024247863	0.6546536707079772
ELISA: Resistin	0.08571428571428572	0.14285714285714285	0.14285714285714285	-0.2	-0.2	0.3142857142857143	0.2	-0.08571428571428572	-0.37142857142857144	0.20291986247835694	0.0	0.2571428571428571	-0.14285714285714285	-0.2571428571428571	0.08827348295047495	0.14285714285714285	0.08571428571428572	-0.08571428571428572	-0.2571428571428571	0.5428571428571428	-0.02857142857142857	0.14285714285714285	-0.3718678720805473	-0.37142857142857144	0.3927922024247863	1.0	-0.14285714285714285
ELISA: VEGF	0.08571428571428572	-0.3142857142857143	-0.3142857142857143	0.2	0.2	-0.14285714285714285	-0.2	-0.08571428571428572	-0.14285714285714285	-0.28988551782622424	0.35856858280031806	0.7714285714285715	-0.7142857142857143	-0.2571428571428571	-0.26482044885142486	0.7142857142857143	-0.2571428571428571	0.2571428571428571	0.7714285714285715	-0.37142857142857144	0.2	0.02857142857142857	0.2704493615131253	-0.6571428571428571	0.6546536707079772	-0.14285714285714285	1.0
